Hardware,Description,Company,Price,Availability_HowToBuy,Constraints,Use-cases,Customer Segment,Related Softwares,Related Products,DocumentationLink,Popularity,ReleaseDate,Version,CompatibilityWithOtherDevices,OperatingSystem,WeightDimension,Resolution,FoV,PossibleInteractions:,Limitations,Comments
Tesseract holoboard Premium Edition,"Phone display AR glasses The Tesseract Holoboard Premium Edition is an augmented reality headset for smartphones by Tesseract, a manufacturer based in India. This device is compatible with smartphones running Android 6.0 and above with OTG (on-the-go) support. Smartphones must also feature a Snapdragon 805 processor or above in order for this device to operate. The Holoboard Premium Edition uses IMU (inertial measurement unit) based tracking as well as proprietary marker-based tracking that makes use of the phone’s front camera. This allows users to interact and place 3D content within the area directly around them.",Tesseract,$249,online,tethered,,consumer,Unity,"enterprise edition (same as premium but doesn’t have hand tracking module), basic edition (no hand tracking, 3dof controller, compatible with iOS)",,,2018,Holoboard Premium Edition,"Android 6.0 and above, iOS",,"235g, 154 x 184 x 110 mm",,up to 82 degrees,hand tracking,,Usable with glasses
Aryzon AR Headset,affordable cardboard AR headset using smartphone,Aryzon,$33,online,low resolution,,consumer,Aryzon Unity SDK,,https://www.aryzon.com/creators,,2018,1,"Android, iOS",,"381g, 140 x 170 x 120mm",,35 degrees,,,Open source SDK
Mira Prism,"The Mira Prism is an augmented reality headset for smartphones made by Mira, a company based in Los Angeles, US. This smartphone AR headset boasts a lightweight design, therefore offering users a comfortable experience. The headset displays AR content by directly reflecting the smartphone’s screen onto a clear lens, hence making it easy for the user to see the content. Users praise the quality of the holograms and also appreciate the affordable price of this 60° FOV augmented reality headset. The AR headset comes with spare replacement lenses.",Mira,$99,online,low resolution,,,,,,,2017,,iOS,,,1334 x 750,60 degrees,3dof controller,,
Realmax Qian,"The RealMax Qian is a standalone AR headset with a wide FOV made by RealMax, a tech startup based in China. According to RealMax, this wireless augmented reality head-mounted display (HMD) can also alter between VR and AR modes. Furthermore, the Qian features inside-out tracking. The AR headset is packed with power, featuring 4GB RAM, a Qualcomm 835 chip, and 64 GB Flash. The Qian headset features some great specs such as 6DoF tracking, a 100.8-degree FOV and 720p resolution. However, no hand tracking is available although an add-on gesture sensor (such as Leap Motion) could be added to allow for this.",RealMax,<$1000,coming soon,,,,,,,,2019,Qian,,,"510g, 230 x 190 x 120mm",720,100.8,"3dof controller, 6dof",,
ANTVR MIX,"AR/VR hybrid The ANTVR MIX is a tethered AR headset made by ANTVR, a manufacturer based in Beijing, China. Contrary to most other augmented reality glasses on the market, the MIX requires a constant cable connection to a PC. These AR glasses are small and lightweight (130g) while providing a relatively large FOV of 96° thanks to ANTVR’s proprietary, dual-channel mixed optics. It ships with 3DoF controllers but 6DoF may be available in the future. Content-wise, the MIX is compatible with SteamVR and its large variety of VR applications. This means that users can play VR games (ones that have a dark background) in AR. Outside-in or inside-out tracking Front camera, built in microphone",ANTVR,$649,,,,,,,,,2018,Mix,"Leap Motion, HTC Vive tracking systems",Microsoft Windows,"130g, 162.4 × 54 × 32.5 mm",2400 × 1200 px (per eye),96,"2 3dof controllers, hand tracking, eye tracking, 6dof",,usable with glasses
Shadow Creator Action One,,,,,,,,,,,,,,,,,,,,,
Google Glass Enterprise Edition 2,,,,,,,,,,,,,,,,,,,,,
Everysight Raptor,,,,,,,,,,,,,,,,,,,,,
Toshiba dynaEdge AR100 Viewer,,,,,,,,,,,,,,,,,,,,,
Varjo XR-1,,,,,,,,,,,,,,,,,,,,,
Lightform (projector),,,,,,,,,,,,,,,,,,,,,
Bose Frames Alto / Rondo,,,,,,,,,,,,,,,,,,,,,
Zungle Viper,,,,,,,,,,,,,,,,,,,,,
Vue Glasses,,,,,,,,,,,,,,,,,,,,,
Echo Frames,,,,,,,,,,,,,,,,,,,,,
TactSuit,,,,,,,,,,,,,,,,,,,,,
Vest Pro / Strap,,,,,,,,,,,,,,,,,,,,,
